"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000001.11,439764,440270,WBP1LP7,plus,106479030,WBP1L pseudogene 7
NC_000001.11,450740,451678,OR4F29,minus,729759,olfactory receptor family 4 subfamily F member 29
NC_000001.11,484833,485210,SEPTIN14P13,minus,106481733,septin 14 pseudogene 13
NC_000001.11,487055,490819,CICP7,plus,100288667,capicua transcriptional repressor pseudogene 7
NC_000001.11,490756,495445,LOC100132287,minus,100132287,uncharacterized LOC100132287
NC_000001.11,516376,516479,LOC124904706,minus,124904706,U6 spliceosomal RNA
NC_000001.11,586287,611297,LOC105378947,minus,105378947,proline-rich extensin-like protein EPR1
NC_000001.11,627380,629009,LOC101928626,minus,101928626,uncharacterized LOC101928626
NC_000001.11,629062,629440,MTND1P23,plus,100887749,MT-ND1 pseudogene 23
NC_000001.11,629640,630686,MTND2P28,plus,100652939,MT-ND2 pseudogene 28
NC_000001.11,631074,632616,MTCO1P12,plus,107075141,MT-CO1 pseudogene 12
NC_000001.11,632615,632685,MIR12136,minus,113219467,microRNA 12136
NC_000001.11,632757,633438,MTCO2P12,plus,107075310,MT-CO2 pseudogene 12
NC_000001.11,633535,633741,MTATP8P1,plus,106480795,MT-ATP8 pseudogene 1
NC_000001.11,633696,634376,MTATP6P1,plus,106480796,MT-ATP6 pseudogene 1
NC_000001.11,634376,634922,MTCO3P12,plus,107075270,MT-CO3 pseudogene 12
NC_000001.11,674743,675246,WBP1LP6,plus,106481797,WBP1L pseudogene 6
NC_000001.11,676076,720101,OR4F16,minus,81399,olfactory receptor family 4 subfamily F member 16
NC_000001.11,717621,720202,SEPTIN14P14,minus,107105354,septin 14 pseudogene 14
NC_000001.11,722046,725822,CICP3,plus,100132630,capicua transcriptional repressor pseudogene 3
NC_000001.11,725759,778634,LOC100288069,minus,100288069,uncharacterized LOC100288069
NC_000001.11,758233,758336,RNU6-1199P,minus,106480091,"RNA, U6 small nuclear 1199, pseudogene"
NC_000001.11,778798,810065,LINC01409,plus,105378580,long intergenic non-protein coding RNA 1409
NC_000001.11,791598,799081,LOC124903817,plus,124903817,uncharacterized LOC124903817
NC_000001.11,817371,819834,FAM87B,plus,400728,family with sequence similarity 87 member B
NC_000001.11,826206,827522,LINC00115,minus,79854,long intergenic non-protein coding RNA 115
NC_000001.11,827591,859446,LINC01128,plus,643837,long intergenic non-protein coding RNA 1128
NC_000001.11,860182,868202,LOC107984850,plus,107984850,uncharacterized LOC107984850
NC_000001.11,868071,876802,FAM41C,minus,284593,family with sequence similarity 41 member C
NC_000001.11,873291,874514,TUBB8P11,plus,388579,tubulin beta 8 class VIII pseudogene 11
NC_000001.11,904811,921019,LOC284600,plus,284600,uncharacterized LOC284600
NC_000001.11,916818,919692,LINC02593,minus,100130417,long intergenic non-protein coding RNA 2593
NC_000001.11,920243,925604,LOC107985728,minus,107985728,collagen alpha-1(III) chain-like
NC_000001.11,923923,944574,SAMD11,plus,148398,sterile alpha motif domain containing 11
NC_000001.11,944203,959256,NOC2L,minus,26155,NOC2 like nucleolar associated transcriptional repressor
NC_000001.11,960584,965719,KLHL17,plus,339451,kelch like family member 17
NC_000001.11,966482,975865,PLEKHN1,plus,84069,pleckstrin homology domain containing N1
NC_000001.11,975198,982093,PERM1,minus,84808,"PPARGC1 and ESRR induced regulator, muscle 1"
NC_000001.11,998964,1000097,HES4,minus,57801,hes family bHLH transcription factor 4
NC_000001.11,1008060,1008290,RPL39P12,minus,100270829,ribosomal protein L39 pseudogene 12
NC_000001.11,1013497,1014540,ISG15,plus,9636,ISG15 ubiquitin like modifier
NC_000001.11,1020120,1056116,AGRN,plus,375790,agrin
NC_000001.11,1059734,1066453,LOC100288175,plus,100288175,uncharacterized LOC100288175
NC_000001.11,1065635,1069337,LOC105378948,minus,105378948,uncharacterized LOC105378948
NC_000001.11,1070967,1074306,RNF223,minus,401934,ring finger protein 223
NC_000001.11,1081823,1116089,C1orf159,minus,54991,chromosome 1 open reading frame 159
NC_000001.11,1122903,1128984,LOC124903819,minus,124903819,uncharacterized LOC124903819
NC_000001.11,1128684,1161940,LOC124903820,plus,124903820,uncharacterized LOC124903820
