"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000007.14,13605,16154,LOC102723872,minus,102723872,uncharacterized LOC102723872
NC_000007.14,31570,36997,LOC105375112,minus,105375112,putative protein FAM157B
NC_000007.14,70417,95612,LOC105375113,minus,105375113,uncharacterized LOC105375113
NC_000007.14,76966,83349,LOC101929756,plus,101929756,uncharacterized LOC101929756
NC_000007.14,112656,119431,LOC105375114,minus,105375114,uncharacterized LOC105375114
NC_000007.14,144444,149438,LINC03015,minus,102723672,long intergenic non-protein coding RNA 3015
NC_000007.14,149718,155465,LINC03014,plus,100507642,long intergenic non-protein coding RNA 3014
NC_000007.14,173171,180726,LOC105375116,plus,105375116,TRIO and F-actin-binding protein-like
NC_000007.14,174920,176013,LOC105375115,plus,105375115,uncharacterized LOC105375115
NC_000007.14,180761,182333,LOC124901806,minus,124901806,uncharacterized LOC124901806
NC_000007.14,186258,190118,LOC124901808,minus,124901808,uncharacterized LOC124901808
NC_000007.14,192571,260772,FAM20C,plus,56975,FAM20C golgi associated secretory pathway kinase
NC_000007.14,262723,264214,LOC124901807,plus,124901807,G patch domain-containing protein 8-like
NC_000007.14,290170,291488,FOXL3,plus,116033993,forkhead box L3
NC_000007.14,291229,294422,FOXL3-OT1,plus,100288524,FOXL3 overlapping transcript 1
NC_000007.14,329627,333265,LOC105375118,minus,105375118,uncharacterized LOC105375118
NC_000007.14,344861,350940,LOC124901809,minus,124901809,uncharacterized LOC124901809
NC_000007.14,379425,382879,LOC442497,plus,442497,uncharacterized LOC442497
NC_000007.14,425462,439389,LOC116435278,plus,116435278,uncharacterized LOC116435278
NC_000007.14,427049,431801,LOC112267991,minus,112267991,uncharacterized LOC112267991
NC_000007.14,446228,447448,LOC124901566,plus,124901566,uncharacterized LOC124901566
NC_000007.14,497258,520700,PDGFA,minus,5154,platelet derived growth factor subunit A
NC_000007.14,520391,525232,PDGFA-DT,plus,441307,PDGFA divergent transcript
NC_000007.14,549197,728934,PRKAR1B,minus,5575,protein kinase cAMP-dependent type I regulatory subunit beta
NC_000007.14,561958,565619,PRKAR1B-AS2,plus,101927000,PRKAR1B antisense RNA 2
NC_000007.14,602845,608502,PRKAR1B-AS1,plus,101926963,PRKAR1B antisense RNA 1
NC_000007.14,612961,614574,LOC105375119,minus,105375119,uncharacterized LOC105375119
NC_000007.14,726699,786475,DNAAF5,plus,54919,dynein axonemal assembly factor 5
NC_000007.14,789453,797819,LOC124901567,plus,124901567,uncharacterized LOC124901567
NC_000007.14,815557,874934,SUN1,plus,23353,Sad1 and UNC84 domain containing 1
NC_000007.14,866916,872150,LOC124901568,minus,124901568,uncharacterized LOC124901568
NC_000007.14,876554,896436,GET4,plus,51608,guided entry of tail-anchored proteins factor 4
NC_000007.14,897900,955407,ADAP1,minus,11033,ArfGAP with dual PH domains 1
NC_000007.14,954854,955490,LOC124901569,plus,124901569,uncharacterized LOC124901569
NC_000007.14,964852,975549,COX19,minus,90639,cytochrome c oxidase assembly factor COX19
NC_000007.14,977964,1138257,C7orf50,minus,84310,chromosome 7 open reading frame 50
NC_000007.14,983181,989640,CYP2W1,plus,54905,cytochrome P450 family 2 subfamily W member 1
NC_000007.14,1004159,1006071,LOC124901570,plus,124901570,uncharacterized LOC124901570
NC_000007.14,1022933,1023026,MIR339,minus,442907,microRNA 339
NC_000007.14,1044546,1059261,GPR146,plus,115330,G protein-coupled receptor 146
NC_000007.14,1065731,1078062,LOC105375120,plus,105375120,uncharacterized LOC105375120
NC_000007.14,1087118,1093810,GPER1,plus,2852,G protein-coupled estrogen receptor 1
NC_000007.14,1112775,1131692,LOC102723758,plus,102723758,uncharacterized LOC102723758
NC_000007.14,1148850,1160196,ZFAND2A,minus,90637,zinc finger AN1-type containing 2A
NC_000007.14,1160374,1165958,ZFAND2A-DT,plus,101927021,ZFAND2A divergent transcript
NC_000007.14,1232872,1237326,UNCX,plus,340260,UNC homeobox
NC_000007.14,1434359,1459470,MICALL2,minus,79778,MICAL like 2
NC_000007.14,1459919,1464586,MICALL2-DT,plus,107986756,MICALL2 divergent transcript
NC_000007.14,1470277,1504389,INTS1,minus,26173,integrator complex subunit 1
NC_000007.14,1521639,1525609,LOC124901572,minus,124901572,uncharacterized LOC124901572
NC_000007.14,1530702,1543043,MAFK,plus,7975,MAF bZIP transcription factor K
NC_000007.14,1532453,1534880,LOC100128653,minus,100128653,uncharacterized LOC100128653
NC_000007.14,1542235,1556205,TMEM184A,minus,202915,transmembrane protein 184A
NC_000007.14,1567332,1570032,PSMG3,minus,84262,proteasome assembly chaperone 3
NC_000007.14,1570073,1589626,PSMG3-AS1,plus,114796,PSMG3 antisense RNA 1 (head to head)
NC_000007.14,1592439,1604790,LOC105375123,plus,105375123,uncharacterized LOC105375123
NC_000007.14,1614470,1616692,TFAMP1,plus,260341,"transcription factor A, mitochondrial pseudogene 1"
NC_000007.14,1619595,1621404,LOC105375303,plus,105375303,uncharacterized LOC105375303
NC_000007.14,1666064,1747946,ELFN1,plus,392617,extracellular leucine rich repeat and fibronectin type III domain containing 1
NC_000007.14,1691906,1694350,LNCRI,minus,401296,lncRNA radiation induced regulator of PLK1 and RAD51
NC_000007.14,1718139,1720385,LOC124901819,minus,124901819,uncharacterized LOC124901819
NC_000007.14,1721024,1726380,LOC105375124,minus,105375124,uncharacterized LOC105375124
NC_000007.14,1738630,1742310,ELFN1-AS1,minus,101927125,ELFN1 antisense RNA 1
NC_000007.14,1815795,2232945,MAD1L1,minus,8379,mitotic arrest deficient 1 like 1
NC_000007.14,1838667,1847782,LOC100127955,plus,100127955,uncharacterized LOC100127955
NC_000007.14,1844180,1844253,MIR4655,minus,100616160,microRNA 4655
NC_000007.14,1980509,1986339,LOC124901573,plus,124901573,uncharacterized LOC124901573
NC_000007.14,2088912,2089052,SNORA114,minus,109623488,"small nucleolar RNA, H/ACA box 114"
NC_000007.14,2110580,2117740,LOC105375127,plus,105375127,uncharacterized LOC105375127
NC_000007.14,2199718,2205200,LOC105375126,plus,105375126,uncharacterized LOC105375126
NC_000007.14,2234195,2242205,MRM2,minus,29960,mitochondrial rRNA methyltransferase 2
NC_000007.14,2242226,2251145,NUDT1,plus,4521,nudix hydrolase 1
NC_000007.14,2251770,2354497,SNX8,minus,29886,sorting nexin 8
NC_000007.14,2257515,2257577,MIR6836,minus,102465503,microRNA 6836
NC_000007.14,2287915,2288428,IMMP1LP3,plus,106481715,inner mitochondrial membrane peptidase subunit 1 pseudogene 3
NC_000007.14,2354086,2380745,EIF3B,plus,8662,eukaryotic translation initiation factor 3 subunit B
NC_000007.14,2381982,2392275,KIF19BP,plus,645357,"kinesin family member 19B, pseudogene"
NC_000007.14,2393098,2394186,NGRNP3,minus,402634,NGRN pseudogene 3
NC_000007.14,2403448,2448484,CHST12,plus,55501,carbohydrate sulfotransferase 12
NC_000007.14,2474728,2476398,GRIFIN,minus,402635,galectin-related inter-fiber protein
NC_000007.14,2505857,2509071,LOC107986759,minus,107986759,uncharacterized LOC107986759
NC_000007.14,2512529,2529177,LFNG,plus,3955,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
NC_000007.14,2527074,2527145,MIR4648,plus,100616116,microRNA 4648
NC_000007.14,2537810,2555524,BRAT1,minus,221927,BRCA1 associated ATM activator 1
NC_000007.14,2550870,2550965,LOC124901849,minus,124901849,uncharacterized LOC124901849
NC_000007.14,2558979,2614728,IQCE,plus,23288,IQ motif containing E
NC_000007.14,2614583,2622188,LOC107986760,minus,107986760,uncharacterized LOC107986760
NC_000007.14,2631986,2664802,TTYH3,plus,80727,tweety family member 3
NC_000007.14,2679522,2765138,AMZ1,plus,155185,archaelysin family metallopeptidase 1
NC_000007.14,2728105,2844308,GNA12,minus,2768,G protein subunit alpha 12
NC_000007.14,2835609,2836085,LOC100131264,plus,100131264,prefoldin subunit 4 pseudogene
NC_000007.14,2906142,3043867,CARD11,minus,84433,caspase recruitment domain family member 11
NC_000007.14,2944035,2947087,CARD11-AS1,plus,101927256,CARD11 antisense RNA 1
NC_000007.14,2999094,2999339,RN7SKP130,plus,106480873,RN7SK pseudogene 130
NC_000007.14,3094126,3118034,LOC105375130,minus,105375130,uncharacterized LOC105375130
NC_000007.14,3140917,3158573,LOC100129603,minus,100129603,uncharacterized LOC100129603
NC_000007.14,3194094,3198304,LOC124901574,minus,124901574,uncharacterized LOC124901574
NC_000007.14,3202869,3203973,LOC124901575,minus,124901575,uncharacterized LOC124901575
NC_000007.14,3243547,3352085,SDK1-AS1,minus,105375132,SDK1 antisense RNA 1
NC_000007.14,3301252,4269000,SDK1,plus,221935,sidekick cell adhesion molecule 1
NC_000007.14,3338085,3338626,RPL21P72,plus,100271181,ribosomal protein L21 pseudogene 72
NC_000007.14,3398787,3448730,LOC124901577,plus,124901577,uncharacterized LOC124901577
NC_000007.14,3465515,3466442,LOC100421742,plus,100421742,NIF3 NGG1 interacting factor 3-like 1 (S. cerevisiae)
NC_000007.14,3951935,3958287,LOC124901576,plus,124901576,uncharacterized LOC124901576
NC_000007.14,4127612,4134837,LOC105375131,minus,105375131,uncharacterized LOC105375131
NC_000007.14,4412907,4416516,LOC124901578,minus,124901578,uncharacterized LOC124901578
NC_000007.14,4434478,4476442,LOC124901579,plus,124901579,uncharacterized LOC124901579
NC_000007.14,4511959,4512033,CYP3A54P,minus,106480749,"cytochrome P450 family 3 subfamily A member 54, pseudogene"
NC_000007.14,4533744,4569716,LOC105375133,plus,105375133,uncharacterized LOC105375133
NC_000007.14,4591852,4599507,LOC124901580,minus,124901580,endogenous retrovirus group K member 6 Env polyprotein
NC_000007.14,4682295,4771442,FOXK1,plus,221937,forkhead box K1
NC_000007.14,4689429,4689633,SNORD13P2,plus,6077,"small nucleolar RNA, C/D box 13 pseudogene 2"
