"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000002.12,38814,46505,FAM110C,minus,642273,family with sequence similarity 110 member C
NC_000002.12,160724,190544,LOC105373324,minus,105373324,uncharacterized LOC105373324
NC_000002.12,218136,264824,SH3YL1,minus,26751,SH3 and SYLF domain containing 1
NC_000002.12,264947,278283,ACP1,plus,52,acid phosphatase 1
NC_000002.12,279558,288091,ALKAL2,minus,285016,ALK and LTK ligand 2
NC_000002.12,285929,296831,LOC101927262,plus,101927262,uncharacterized LOC101927262
NC_000002.12,290941,314375,LOC105373346,minus,105373346,uncharacterized LOC105373346
NC_000002.12,316284,337054,LINC01865,plus,105373350,long intergenic non-protein coding RNA 1865
NC_000002.12,367535,387277,LOC105373351,plus,105373351,uncharacterized LOC105373351
NC_000002.12,416612,424248,LOC124905962,plus,124905962,collagen alpha-2(I) chain-like
NC_000002.12,428417,429450,LOC124907599,plus,124907599,uncharacterized LOC124907599
NC_000002.12,490947,492655,LINC01874,minus,727944,long intergenic non-protein coding RNA 1874
NC_000002.12,495813,496636,LOC100996637,plus,100996637,uncharacterized LOC100996637
NC_000002.12,545805,546667,LINC01875,plus,101927362,long intergenic non-protein coding RNA 1875
NC_000002.12,558201,562093,LOC105373352,plus,105373352,uncharacterized LOC105373352
NC_000002.12,663877,677406,TMEM18,minus,129787,transmembrane protein 18
NC_000002.12,677372,682863,TMEM18-DT,plus,105373354,TMEM18 divergent transcript
NC_000002.12,689355,692017,LOC105373479,minus,105373479,uncharacterized LOC105373479
NC_000002.12,696985,731206,LOC105373358,minus,105373358,uncharacterized LOC105373358
NC_000002.12,739485,779048,LOC105373480,plus,105373480,uncharacterized LOC105373480
NC_000002.12,779840,868426,LINC01115,minus,339822,long intergenic non-protein coding RNA 1115
NC_000002.12,900216,905451,LINC01939,minus,101060385,long intergenic non-protein coding RNA 1939
NC_000002.12,949634,951392,SNTG2-AS1,minus,101060391,SNTG2 antisense RNA 1
NC_000002.12,950849,1367613,SNTG2,plus,54221,syntrophin gamma 2
NC_000002.12,1252251,1262418,LOC124905965,minus,124905965,uncharacterized LOC124905965
NC_000002.12,1310034,1314460,LOC105373359,minus,105373359,uncharacterized LOC105373359
NC_000002.12,1374047,1543673,TPO,plus,7173,thyroid peroxidase
NC_000002.12,1483968,1541987,LOC124905966,minus,124905966,uncharacterized LOC124905966
