"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000012.12,12310,14526,DDX11L8,plus,100302090,DEAD/H-box helicase 11 like 8 (pseudogene)
NC_000012.12,14477,32015,WASH8P,minus,100288778,"WAS protein family homolog 8, pseudogene"
NC_000012.12,32353,36288,LOC107987170,plus,107987170,uncharacterized LOC107987170
NC_000012.12,36661,38133,FAM138D,minus,677784,family with sequence similarity 138 member D
NC_000012.12,66767,178455,IQSEC3,plus,440073,IQ motif and Sec7 domain ArfGEF 3
NC_000012.12,106524,111761,IQSEC3-AS2,minus,105369593,IQSEC3 antisense RNA 2
NC_000012.12,137411,149169,LOC574538,minus,574538,uncharacterized LOC574538
NC_000012.12,164620,182408,IQSEC3-AS1,minus,105369592,IQSEC3 antisense RNA 1
NC_000012.12,183848,214157,SLC6A12,minus,6539,solute carrier family 6 member 12
NC_000012.12,203645,205093,SLC6A12-AS1,plus,101929384,SLC6A12 antisense RNA 1
NC_000012.12,220622,262836,SLC6A13,minus,6540,solute carrier family 6 member 13
NC_000012.12,253442,257299,LOC102723544,minus,102723544,uncharacterized LOC102723544
NC_000012.12,280057,389320,KDM5A,minus,5927,lysine demethylase 5A
NC_000012.12,389347,442642,CCDC77,plus,84318,coiled-coil domain containing 77
NC_000012.12,390033,401410,LOC105369594,minus,105369594,uncharacterized LOC105369594
NC_000012.12,459939,563509,B4GALNT3,plus,283358,"beta-1,4-N-acetyl-galactosaminyltransferase 3"
NC_000012.12,471739,477625,LOC124902853,plus,124902853,uncharacterized LOC124902853
NC_000012.12,507725,508170,LOC124902852,minus,124902852,uncharacterized LOC124902852
NC_000012.12,564296,663445,NINJ2,minus,4815,ninjurin 2
NC_000012.12,585698,586486,LOC105369595,minus,105369595,uncharacterized LOC105369595
NC_000012.12,589533,589588,RNU7-103P,minus,107063544,"RNA, U7 small nuclear 103 pseudogene"
NC_000012.12,630891,645878,NINJ2-AS1,plus,100049716,NINJ2 antisense RNA 1
NC_000012.12,672592,716612,LINC02455,minus,105369597,long intergenic non-protein coding RNA 2455
NC_000012.12,689766,728286,LOC101929432,plus,101929432,uncharacterized LOC101929432
NC_000012.12,752579,911452,WNK1,plus,65125,WNK lysine deficient protein kinase 1
NC_000012.12,781132,781256,RNU4ATAC16P,plus,106481160,"RNA, U4atac small nuclear 16, pseudogene"
NC_000012.12,911736,991122,RAD52,minus,5893,"RAD52 homolog, DNA repair protein"
NC_000012.12,931313,935868,LOC124902855,plus,124902855,uncharacterized LOC124902855
NC_000012.12,989959,1495933,ERC1,plus,23085,ELKS/RAB6-interacting/CAST family member 1
NC_000012.12,1115414,1129475,LOC124902857,minus,124902857,uncharacterized LOC124902857
NC_000012.12,1152257,1153037,HTR1DP1,minus,100421479,5-hydroxytryptamine receptor 1D pseudogene 1
NC_000012.12,1236911,1245370,LOC124902854,plus,124902854,uncharacterized LOC124902854
NC_000012.12,1337352,1339983,LOC107987182,plus,107987182,uncharacterized LOC107987182
NC_000012.12,1445203,1466740,LOC124902856,plus,124902856,uncharacterized LOC124902856
NC_000012.12,1500491,1504424,LINC00942,plus,100292680,long intergenic non-protein coding RNA 942
NC_000012.12,1527723,1532192,LOC107984507,minus,107984507,uncharacterized LOC107984507
NC_000012.12,1565993,1594842,FBXL14,minus,144699,F-box and leucine rich repeat protein 14
NC_000012.12,1617056,1647212,WNT5B,plus,81029,Wnt family member 5B
NC_000012.12,1660315,1660380,MIR3649,minus,100500816,microRNA 3649
NC_000012.12,1691070,1788674,ADIPOR2,plus,79602,adiponectin receptor 2
NC_000012.12,1696691,1698044,LOC100533654,minus,100533654,SDA1 domain containing 1 pseudogene
NC_000012.12,1757160,1758032,RPS4XP14,minus,729097,ribosomal protein S4X pseudogene 14
NC_000012.12,1791963,1918652,CACNA2D4,minus,93589,calcium voltage-gated channel auxiliary subunit alpha2delta 4
NC_000012.12,1800439,1807497,LOC105369602,plus,105369602,uncharacterized LOC105369602
NC_000012.12,1813196,1818806,LOC105369601,plus,105369601,uncharacterized LOC105369601
NC_000012.12,1820565,1836753,LRTM2,plus,654429,leucine rich repeats and transmembrane domains 2
NC_000012.12,1865283,1865794,LAMP1P1,minus,100421198,lysosomal associated membrane protein 1 pseudogene 1
NC_000012.12,1884206,1889442,LOC124902858,plus,124902858,uncharacterized LOC124902858
NC_000012.12,1929202,1936576,LINC00940,minus,100271702,long intergenic non-protein coding RNA 940
NC_000012.12,1941591,2004457,DCP1B,minus,196513,decapping mRNA 1B
NC_000012.12,1970780,2697950,CACNA1C,plus,775,calcium voltage-gated channel subunit alpha1 C
NC_000012.12,2016671,2028839,CACNA1C-IT1,plus,107984540,CACNA1C intronic transcript 1
NC_000012.12,2048352,2049463,CACNA1C-IT2,plus,100874369,CACNA1C intronic transcript 2
NC_000012.12,2131969,2168564,LOC107984131,plus,107984131,uncharacterized LOC107984131
NC_000012.12,2220537,2223481,CACNA1C-AS4,minus,100874234,CACNA1C antisense RNA 4
NC_000012.12,2269776,2288745,CACNA1C-IT3,plus,100874370,CACNA1C intronic transcript 3
NC_000012.12,2659896,2660546,RPS6P18,plus,100271135,ribosomal protein S6 pseudogene 18
NC_000012.12,2668500,2672220,CACNA1C-AS2,minus,100874235,CACNA1C antisense RNA 2
NC_000012.12,2676001,2691157,CACNA1C-AS1,minus,100652846,CACNA1C antisense RNA 1
NC_000012.12,2740075,2746662,LINC02371,plus,107984539,long intergenic non-protein coding RNA 2371
