"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000019.10,60951,70966,WASH5P,minus,375690,"WASP family homolog 5, pseudogene"
NC_000019.10,71381,77026,LOC105376912,plus,105376912,uncharacterized LOC105376912
NC_000019.10,71973,72110,MIR1302-11,plus,100422919,microRNA 1302-11
NC_000019.10,76220,77690,FAM138F,minus,641702,family with sequence similarity 138 member F
NC_000019.10,94077,94940,OR4G3P,plus,26679,olfactory receptor family 4 subfamily G member 3 pseudogene
NC_000019.10,104602,105470,OR4G1P,plus,26681,olfactory receptor family 4 subfamily G member 1 pseudogene
NC_000019.10,107104,113156,OR4F17,plus,81099,olfactory receptor family 4 subfamily F member 17
NC_000019.10,145305,145811,WBP1LP11,plus,106481969,WBP1L pseudogene 11
NC_000019.10,156282,157216,OR4F8P,minus,390872,olfactory receptor family 4 subfamily F member 8 pseudogene
NC_000019.10,188772,191356,SEPTIN14P19,minus,107105271,septin 14 pseudogene 19
NC_000019.10,193198,196968,CICP19,plus,100506706,capicua transcriptional repressor pseudogene 19
NC_000019.10,197016,202209,LINC01002,minus,399844,long intergenic non-protein coding RNA 1002
NC_000019.10,204014,246532,LOC101928344,minus,101928344,uncharacterized LOC101928344
NC_000019.10,223158,223261,RNU6-1076P,minus,106480038,"RNA, U6 small nuclear 1076, pseudogene"
NC_000019.10,230062,230165,GTF2IP19,plus,107403157,general transcription factor IIi pseudogene 19
NC_000019.10,242739,245331,LOC107985295,minus,107985295,uncharacterized LOC107985295
NC_000019.10,279554,280243,VN2R11P,plus,100033399,vomeronasal 2 receptor 11 pseudogene
NC_000019.10,281043,291403,PLPP2,minus,8612,phospholipid phosphatase 2
NC_000019.10,302082,304361,LOC124904605,minus,124904605,uncharacterized LOC124904605
NC_000019.10,305573,344796,MIER2,minus,54531,MIER family member 2
NC_000019.10,361747,376026,SPMAP2,minus,51298,sperm microtubule associated protein 2
NC_000019.10,382550,386681,LOC124904606,plus,124904606,uncharacterized LOC124904606
NC_000019.10,405445,409147,C2CD4C,minus,126567,C2 calcium dependent domain containing 4C
NC_000019.10,409522,414465,LOC124904607,minus,124904607,proline-rich proteoglycan 2-like
NC_000019.10,416589,461033,SHC2,minus,25759,SHC adaptor protein 2
NC_000019.10,453134,453245,RNA5SP462,plus,100873706,"RNA, 5S ribosomal pseudogene 462"
NC_000019.10,463361,491624,CIMAP1D,minus,284451,CIMAP1 family member D
NC_000019.10,489166,490070,LOC124904608,plus,124904608,uncharacterized LOC124904608
NC_000019.10,496486,505343,MADCAM1,plus,8174,mucosal vascular addressin cell adhesion molecule 1
NC_000019.10,499769,507889,MADCAM1-AS1,minus,105372232,MADCAM1 antisense RNA 1
NC_000019.10,507497,519654,TPGS1,plus,91978,tubulin polyglutamylase complex subunit 1
NC_000019.10,531760,542087,CDC34,plus,997,"cell division cycle 34, ubiqiutin conjugating enzyme"
NC_000019.10,544053,549922,GZMM,plus,3004,granzyme M
NC_000019.10,566534,572248,BSG-AS1,minus,105372233,BSG antisense RNA 1
NC_000019.10,571283,583493,BSG,plus,682,basigin (Ok blood group)
NC_000019.10,589881,617159,HCN2,plus,610,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
NC_000019.10,590303,591615,LOC100420586,minus,100420586,Rho GTPase activating protein 33 pseudogene
NC_000019.10,609940,613473,LOC107987266,minus,107987266,uncharacterized LOC107987266
NC_000019.10,617221,633537,POLRMT,minus,5442,RNA polymerase mitochondrial
NC_000019.10,633464,638306,LOC105372234,plus,105372234,uncharacterized LOC105372234
NC_000019.10,639879,644373,FGF22,plus,27006,fibroblast growth factor 22
NC_000019.10,647526,663214,RNF126,minus,55658,ring finger protein 126
NC_000019.10,676392,683385,FSTL3,plus,10272,follistatin like 3
NC_000019.10,685546,695452,PRSS57,minus,400668,serine protease 57
NC_000019.10,690442,691211,RPS2P52,plus,100271250,ribosomal protein S2 pseudogene 52
NC_000019.10,708935,748329,PALM,plus,5064,paralemmin
NC_000019.10,748438,764318,MISP,plus,126353,mitotic spindle positioning
NC_000019.10,781002,782608,LOC101928450,minus,101928450,uncharacterized LOC101928450
NC_000019.10,782796,785703,LINC01836,plus,107985343,long intergenic non-protein coding RNA 1836
NC_000019.10,797452,812312,PTBP1,plus,5725,polypyrimidine tract binding protein 1
NC_000019.10,804940,805001,MIR4745,plus,100616459,microRNA 4745
NC_000019.10,812488,823797,PLPPR3,minus,79948,phospholipid phosphatase related 3
NC_000019.10,813584,813653,MIR3187,plus,100422854,microRNA 3187
NC_000019.10,827837,832018,AZU1,plus,566,azurocidin 1
NC_000019.10,840999,848175,PRTN3,plus,5657,proteinase 3
NC_000019.10,852303,856243,ELANE,plus,1991,"elastase, neutrophil expressed"
NC_000019.10,859664,863641,CFD,plus,1675,complement factor D
NC_000019.10,867963,893187,MED16,minus,10025,mediator complex subunit 16
NC_000019.10,893484,893590,RNU6-9,plus,101954271,"RNA, U6 small nuclear 9"
NC_000019.10,896503,913219,R3HDM4,minus,91300,R3H domain containing 4
NC_000019.10,917333,921005,KISS1R,plus,84634,KISS1 receptor
NC_000019.10,925732,975939,ARID3A,plus,1820,AT-rich interaction domain 3A
NC_000019.10,982928,994557,WDR18,plus,57418,WD repeat domain 18
NC_000019.10,1000419,1009732,GRIN3B,plus,116444,glutamate ionotropic receptor NMDA type subunit 3B
NC_000019.10,1009653,1021123,TMEM259,minus,91304,transmembrane protein 259
NC_000019.10,1021522,1021628,RNU6-2,plus,103625684,"RNA, U6 small nuclear 2"
NC_000019.10,1026608,1039065,CNN2,plus,1265,calponin 2
NC_000019.10,1040107,1065572,ABCA7,plus,10347,ATP binding cassette subfamily A member 7
NC_000019.10,1065959,1086628,ARHGAP45,plus,23526,Rho GTPase activating protein 45
NC_000019.10,1086574,1095375,POLR2E,minus,5434,"RNA polymerase II, I and III subunit E"
NC_000019.10,1103994,1106779,GPX4,plus,2879,glutathione peroxidase 4
NC_000019.10,1107638,1174268,SBNO2,minus,22904,strawberry notch homolog 2
NC_000019.10,1163451,1168740,LOC102723798,plus,102723798,uncharacterized LOC102723798
NC_000019.10,1168833,1174993,LOC102725180,plus,102725180,collagen alpha-1(VII) chain
NC_000019.10,1203127,1203965,HMGB2P1,plus,729119,high mobility group box 2 pseudogene 1
NC_000019.10,1205778,1228431,STK11,plus,6794,serine/threonine kinase 11
NC_000019.10,1228287,1238502,CBARP,minus,255057,CACN subunit beta associated regulatory protein
NC_000019.10,1237928,1239520,CBARP-DT,plus,118827813,CBARP divergent transcript
NC_000019.10,1241751,1244825,ATP5F1D,plus,513,ATP synthase F1 subunit delta
NC_000019.10,1246268,1248072,LOC102723811,minus,102723811,uncharacterized LOC102723811
NC_000019.10,1248583,1259143,MIDN,plus,90007,midnolin
NC_000019.10,1261113,1264420,LOC107985303,plus,107985303,IQ motif and SEC7 domain-containing protein 2-like
NC_000019.10,1261794,1266541,LOC105372236,minus,105372236,uncharacterized LOC105372236
NC_000019.10,1267471,1270260,CIRBP-AS1,minus,148046,CIRBP antisense RNA 1
NC_000019.10,1269332,1274880,CIRBP,plus,1153,cold inducible RNA binding protein
NC_000019.10,1275530,1279228,FAM174C,plus,55009,family with sequence similarity 174 member C
NC_000019.10,1284227,1301431,EFNA2,plus,1943,ephrin A2
NC_000019.10,1307405,1307745,RPS15P9,minus,401895,ribosomal protein S15 pseudogene 9
NC_000019.10,1354959,1378429,PWWP3A,plus,84939,"PWWP domain containing 3A, DNA repair factor"
NC_000019.10,1383362,1383434,TRF-GAA1-6,minus,100189306,tRNA-Phe (anticodon GAA) 1-6
NC_000019.10,1383563,1383636,TRN-GTT2-6,plus,100189195,tRNA-Asn (anticodon GTT) 2-6
NC_000019.10,1383907,1395584,NDUFS7,plus,374291,NADH:ubiquinone oxidoreductase core subunit S7
NC_000019.10,1397026,1401542,GAMT,minus,2593,guanidinoacetate N-methyltransferase
NC_000019.10,1407586,1435684,DAZAP1,plus,26528,DAZ associated protein 1
NC_000019.10,1438396,1440495,RPS15,plus,6209,ribosomal protein S15
NC_000019.10,1446230,1473244,APC2,plus,10297,APC regulator of WNT signaling pathway 2
NC_000019.10,1473201,1479215,C19orf25,minus,148223,chromosome 19 open reading frame 25
NC_000019.10,1481428,1490876,PCSK4,minus,54760,proprotein convertase subtilisin/kexin type 4
NC_000019.10,1491181,1497927,REEP6,plus,92840,receptor accessory protein 6
NC_000019.10,1505022,1513019,ADAMTSL5,minus,339366,ADAMTS like 5
NC_000019.10,1507992,1509114,LOC124904609,plus,124904609,uncharacterized LOC124904609
NC_000019.10,1517402,1522477,LOC107985337,plus,107985337,uncharacterized LOC107985337
NC_000019.10,1524077,1536046,PLK5,plus,126520,polo like kinase 5 (inactive)
NC_000019.10,1554672,1568325,MEX3D,minus,399664,mex-3 RNA binding family member D
