"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000014.9,16024658,16025641,DUX4L48,plus,107105251,double homeobox 4 like 48 (pseudogene)
NC_000014.9,16028061,16028716,PCMTD1P6,plus,107105255,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 6
NC_000014.9,16029944,16030886,DUX4L49,plus,107105252,double homeobox 4 like 49 (pseudogene)
NC_000014.9,16047787,16049736,CDC27P6,minus,649620,cell division cycle 27 pseudogene 6
NC_000014.9,16051029,16056779,LOC107987204,minus,107987204,uncharacterized LOC107987204
NC_000014.9,16054578,16056431,LOC110467536,plus,110467536,"RNA, 18S ribosomal pseudogene"
NC_000014.9,16057472,16057622,RNA5-8SP,plus,110467518,"RNA, 5.8S ribosomal pseudogene"
NC_000014.9,18343038,18343144,RNU6-458P,plus,106481324,"RNA, U6 small nuclear 458, pseudogene"
NC_000014.9,18418715,18419246,BNIP3P6,plus,100129777,BCL2 interacting protein 3 pseudogene 6
NC_000014.9,18601117,18602097,OR11H12,plus,440153,olfactory receptor family 11 subfamily H member 12
NC_000014.9,18622486,18626968,ARHGAP42P5,minus,100128514,ARHGAP42 pseudogene 5
NC_000014.9,18630536,18633634,LINC02297,minus,642426,long intergenic non-protein coding RNA 2297
NC_000014.9,18631388,18648750,LOC100420172,plus,100420172,fatty acyl-CoA reductase 2 pseudogene
NC_000014.9,18634118,18637315,USP10P2,minus,780778,USP10 pseudogene 2
NC_000014.9,18645045,18646221,SSBP3P4,minus,100132698,SSBP3 pseudogene 4
NC_000014.9,18645991,18646505,LOC100422529,plus,100422529,pleckstrin homology domain containing B2 pseudogene
NC_000014.9,18692011,18692465,RPL22P20,plus,100128664,ribosomal protein L22 pseudogene 20
NC_000014.9,18698022,18700120,NEK2P3,minus,100158258,NEK2 pseudogene 3
NC_000014.9,18709490,18712643,NF1P10,minus,106480348,neurofibromin 1 pseudogene 10
NC_000014.9,18888467,18890566,NEK2P1,minus,326302,NEK2 pseudogene 1
NC_000014.9,18901326,18909674,NF1P7,minus,100158257,neurofibromin 1 pseudogene 7
NC_000014.9,18912656,18916955,MED15P6,minus,100996438,mediator complex subunit 15 pseudogene 6
NC_000014.9,18967434,19003752,POTEM,plus,641455,POTE ankyrin domain family member M
NC_000014.9,18976748,18980793,LOC100508046,minus,100508046,uncharacterized LOC100508046
NC_000014.9,18978847,18978953,RNU6-1239P,plus,106481571,"RNA, U6 small nuclear 1239, pseudogene"
NC_000014.9,18998860,19000587,ACTBP10,plus,446207,ACTB pseudogene 10
NC_000014.9,19026521,19028189,GRAMD4P4,minus,106480248,GRAM domain containing 4 pseudogene 4
NC_000014.9,19062377,19107497,DUXAP9,plus,503638,double homeobox A pseudogene 9
NC_000014.9,19083134,19093337,BMS1P18,minus,414763,BMS1 pseudogene 18
NC_000014.9,19126530,19128974,LNCRNA-ATB,plus,114004396,lncRNA activated by TGF-beta
NC_000014.9,19130635,19154333,NBEAP5,plus,100418903,neurobeachin pseudogene 5
NC_000014.9,19131345,19132957,LOC727980,minus,727980,translocase of outer mitochondrial membrane 40 homolog (yeast) pseudogene
NC_000014.9,19160556,19161071,LOC100420095,plus,100420095,uncharacterized LOC100420095
