"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000017.11,61672,64040,LOC101929817,minus,101929817,uncharacterized LOC101929817
NC_000017.11,64423,73043,LOC102723777,minus,102723777,putative uncharacterized protein FLJ44672
NC_000017.11,73589,86410,LINC02887,minus,105377826,long intergenic non-protein coding RNA 2887
NC_000017.11,90796,90899,LOC124904108,minus,124904108,U6 spliceosomal RNA
NC_000017.11,97695,97798,GTF2IP17,plus,107403156,general transcription factor IIi pseudogene 17
NC_000017.11,97711,133841,LOC101929823,minus,101929823,uncharacterized LOC101929823
NC_000017.11,110296,111566,LOC101929828,minus,101929828,uncharacterized LOC101929828
NC_000017.11,137569,139067,SCGB1C2,plus,653486,secretoglobin family 1C member 2
NC_000017.11,142789,181650,DOC2B,minus,8447,double C2 domain beta
NC_000017.11,183824,187251,LINC02091,minus,100506371,long intergenic non-protein coding RNA 2091
NC_000017.11,198797,200330,LOC124903889,minus,124903889,uncharacterized LOC124903889
NC_000017.11,212389,352807,RPH3AL,minus,9501,rabphilin 3A like (without C2 domains)
NC_000017.11,331519,333488,RPH3AL-AS1,plus,100506388,RPH3AL antisense RNA 1
NC_000017.11,338939,341397,LOC105371425,plus,105371425,uncharacterized LOC105371425
NC_000017.11,404535,414023,LOC105371430,minus,105371430,uncharacterized LOC105371430
NC_000017.11,410325,414666,LIAT1,plus,400566,ligand of ATE1
NC_000017.11,439978,445940,RFLNB,minus,359845,refilin B
NC_000017.11,508668,714839,VPS53,minus,55275,VPS53 subunit of GARP complex
NC_000017.11,522737,551353,LOC124903890,plus,124903890,uncharacterized LOC124903890
NC_000017.11,555884,556340,LOC124903891,plus,124903891,uncharacterized LOC124903891
NC_000017.11,656732,657596,RPS4XP17,minus,100128140,ribosomal protein S4X pseudogene 17
NC_000017.11,722072,732380,LOC124903893,minus,124903893,uncharacterized LOC124903893
NC_000017.11,732596,742968,TLCD3A,plus,79850,TLC domain containing 3A
NC_000017.11,744421,754410,GEMIN4,minus,50628,gem nuclear organelle associated protein 4
NC_000017.11,752333,755336,DBIL5P,plus,100131454,"diazepam binding inhibitor-like 5, pseudogene"
NC_000017.11,759330,785895,GLOD4,minus,51031,glyoxalase domain containing 4
NC_000017.11,782353,792509,MRM3,plus,55178,mitochondrial rRNA methyltransferase 3
NC_000017.11,799310,979776,NXN,minus,64359,nucleoredoxin
NC_000017.11,846485,853020,LOC124903894,minus,124903894,uncharacterized LOC124903894
NC_000017.11,909632,911212,LOC101927727,plus,101927727,uncharacterized LOC101927727
NC_000017.11,997129,1003671,TIMM22,plus,29928,translocase of inner mitochondrial membrane 22
NC_000017.11,1003519,1229722,ABR,minus,29,ABR activator of RhoGEF and GTPase
NC_000017.11,1012797,1014081,LOC105371481,plus,105371481,uncharacterized LOC105371481
NC_000017.11,1022476,1022559,MIR3183,minus,100422835,microRNA 3183
