"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000004.12,48896,51521,LOC105374377,minus,105374377,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
NC_000004.12,53321,88208,ZNF595,plus,152687,zinc finger protein 595
NC_000004.12,105761,107938,WEE1P1,minus,100129037,WEE1 pseudogene 1
NC_000004.12,123204,125591,LOC124900641,minus,124900641,uncharacterized LOC124900641
NC_000004.12,124476,202306,ZNF718,plus,255403,zinc finger protein 718
NC_000004.12,201223,205028,LOC100288172,minus,100288172,WEE1 homolog (S. pombe) pseudogene
NC_000004.12,212600,255985,ZNF876P,plus,642280,"zinc finger protein 876, pseudogene"
NC_000004.12,218556,219643,LOC124900642,plus,124900642,zinc finger protein 141-like
NC_000004.12,262820,264256,LOC100533733,plus,100533733,HERV-FRD provirus ancestral Env polyprotein pseudogene
NC_000004.12,270675,305474,ZNF732,minus,654254,zinc finger protein 732
NC_000004.12,307335,309790,LOC105374336,minus,105374336,uncharacterized LOC105374336
NC_000004.12,337814,384868,ZNF141,plus,7700,zinc finger protein 141
NC_000004.12,350157,350252,MIR571,plus,693156,microRNA 571
NC_000004.12,393534,393658,ZNF519P4,plus,106481981,zinc finger protein 519 pseudogene 4
NC_000004.12,425435,474209,ABCA11P,minus,79963,"ATP binding cassette subfamily A member 11, pseudogene"
NC_000004.12,434345,435790,LOC100533734,plus,100533734,HERV-FRD provirus ancestral Env polyprotein pseudogene
NC_000004.12,439988,499156,ZNF721,minus,170960,zinc finger protein 721
NC_000004.12,475597,477104,LOC100533735,plus,100533735,HERV-FRD provirus ancestral Env polyprotein pseudogene
NC_000004.12,499210,540200,PIGG,plus,54872,phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group)
NC_000004.12,573880,576295,TMEM271,minus,112441426,transmembrane protein 271
NC_000004.12,577168,584866,LOC105374338,plus,105374338,uncharacterized LOC105374338
NC_000004.12,588784,618098,LOC124900162,plus,124900162,uncharacterized LOC124900162
NC_000004.12,625573,670782,PDE6B,plus,5158,phosphodiesterase 6B
NC_000004.12,652905,655200,PDE6B-AS1,minus,101928521,PDE6B antisense RNA 1
NC_000004.12,672436,674276,ATP5ME,minus,521,ATP synthase membrane subunit e
NC_000004.12,674542,682028,MYL5,plus,4636,myosin light chain 5
NC_000004.12,676826,691624,SLC49A3,minus,84179,solute carrier family 49 member 3
NC_000004.12,686685,688019,LOC124900643,plus,124900643,uncharacterized LOC124900643
NC_000004.12,705832,770089,PCGF3,plus,10336,polycomb group ring finger 3
NC_000004.12,713171,732498,LOC124900172,plus,124900172,uncharacterized LOC124900172
NC_000004.12,739427,741739,LOC107986246,plus,107986246,uncharacterized LOC107986246
NC_000004.12,746161,748184,LOC124900644,plus,124900644,uncharacterized LOC124900644
NC_000004.12,748087,781848,LOC124900163,minus,124900163,chloride intracellular channel protein 6-like
NC_000004.12,760443,781849,PCGF3-AS1,minus,100129917,PCGF3 antisense RNA 1
NC_000004.12,784957,826129,CPLX1,minus,10815,complexin 1
NC_000004.12,787774,797149,LOC105374339,plus,105374339,uncharacterized LOC105374339
NC_000004.12,840010,846821,LOC105374340,minus,105374340,uncharacterized LOC105374340
NC_000004.12,849277,932316,GAK,minus,2580,cyclin G associated kinase
NC_000004.12,873068,875294,LOC105374341,plus,105374341,uncharacterized LOC105374341
NC_000004.12,932460,958656,TMEM175,plus,84286,transmembrane protein 175
NC_000004.12,958887,973569,DGKQ,minus,1609,diacylglycerol kinase theta
NC_000004.12,968883,969941,LOC124900645,plus,124900645,uncharacterized LOC124900645
NC_000004.12,978991,993404,SLC26A1,minus,10861,solute carrier family 26 member 1
NC_000004.12,986997,1008351,IDUA,plus,3425,alpha-L-iduronidase
NC_000004.12,998365,999755,LOC124900646,plus,124900646,uncharacterized LOC124900646
NC_000004.12,1010212,1026898,FGFRL1,plus,53834,fibroblast growth factor receptor like 1
NC_000004.12,1036211,1051506,LOC105374343,plus,105374343,uncharacterized LOC105374343
NC_000004.12,1056251,1113710,RNF212,minus,285498,ring finger protein 212
NC_000004.12,1100711,1101562,LOC100421802,minus,100421802,"protein phosphatase 2 regulatory subunit B, alpha pseudogene"
NC_000004.12,1113639,1203194,LOC124900647,plus,124900647,"nascent polypeptide-associated complex subunit alpha, muscle-specific form-like"
NC_000004.12,1113639,1132975,LOC105374344,plus,105374344,uncharacterized LOC105374344
NC_000004.12,1115197,1123164,TMED11P,minus,100379220,"transmembrane p24 trafficking protein 11, pseudogene"
NC_000004.12,1118884,1119013,LOC124900184,plus,124900184,small nucleolar RNA SNORA48
NC_000004.12,1145431,1153700,LOC124900837,plus,124900837,hornerin-like
NC_000004.12,1166932,1208844,SPON2,minus,10417,spondin 2
NC_000004.12,1195783,1208962,LOC100130872,minus,100130872,uncharacterized LOC100130872
NC_000004.12,1200626,1201257,LOC124900164,minus,124900164,uncharacterized LOC124900164
NC_000004.12,1210120,1218591,CTBP1-AS,plus,285463,CTBP1 antisense RNA
NC_000004.12,1211445,1250355,CTBP1,minus,1487,C-terminal binding protein 1
NC_000004.12,1249440,1253007,CTBP1-DT,plus,92070,CTBP1 divergent transcript
NC_000004.12,1286364,1289571,LOC105374347,minus,105374347,uncharacterized LOC105374347
NC_000004.12,1287603,1288294,LOC105374346,plus,105374346,uncharacterized LOC105374346
NC_000004.12,1289891,1340137,MAEA,plus,10296,"macrophage erythroblast attacher, E3 ubiquitin ligase"
NC_000004.12,1342011,1395989,UVSSA,plus,57654,UV stimulated scaffold protein A
NC_000004.12,1402932,1406442,NKX1-1,minus,54729,NK1 homeobox 1
NC_000004.12,1500991,1503552,LOC105374348,minus,105374348,uncharacterized LOC105374348
NC_000004.12,1574062,1686017,FAM53A,minus,152877,family with sequence similarity 53 member A
NC_000004.12,1627314,1629285,LOC105374349,minus,105374349,uncharacterized LOC105374349
NC_000004.12,1692731,1712319,SLBP,minus,7884,stem-loop histone mRNA binding protein
NC_000004.12,1715952,1721323,TMEM129,minus,92305,"transmembrane protein 129, E3 ubiquitin ligase"
NC_000004.12,1721521,1745171,TACC3,plus,10460,transforming acidic coiled-coil containing protein 3
NC_000004.12,1738592,1740826,LOC112268460,minus,112268460,uncharacterized LOC112268460
NC_000004.12,1772283,1776934,LOC124900648,minus,124900648,uncharacterized LOC124900648
NC_000004.12,1793293,1808867,FGFR3,plus,2261,fibroblast growth factor receptor 3
NC_000004.12,1811479,1856156,LETM1,minus,3954,leucine zipper and EF-hand containing transmembrane protein 1
NC_000004.12,1869153,1869214,RN7SL671P,minus,106479467,"RNA, 7SL, cytoplasmic 671, pseudogene"
NC_000004.12,1871393,1982192,NSD2,plus,7468,nuclear receptor binding SET domain protein 2
NC_000004.12,1974636,1974760,SCARNA22,plus,677770,small Cajal body-specific RNA 22
NC_000004.12,1982723,2008974,NELFA,minus,7469,negative elongation factor complex member A
NC_000004.12,1986384,1986477,MIR943,minus,100126332,microRNA 943
NC_000004.12,2009006,2041914,LOC124900839,minus,124900839,uncharacterized LOC124900839
NC_000004.12,2036554,2043964,NICOL1,plus,401115,NELL2 interacting cell ontogeny regulator 1
NC_000004.12,2059327,2069089,NAT8L,plus,339983,N-acetyltransferase 8 like
NC_000004.12,2071918,2242121,POLN,minus,353497,DNA polymerase nu
NC_000004.12,2088115,2090704,LOC100419959,minus,100419959,HBS1 like translational GTPase pseudogene
NC_000004.12,2228349,2242121,HAUS3,minus,79441,HAUS augmin like complex subunit 3
NC_000004.12,2234251,2241909,COX6B1P5,plus,100289662,cytochrome c oxidase subunit 6B1 pseudogene 5
NC_000004.12,2247432,2262109,MXD4,minus,10608,MAX dimerization protein 4
NC_000004.12,2250077,2250156,MIR4800,minus,100616358,microRNA 4800
NC_000004.12,2269597,2418645,ZFYVE28,minus,57732,zinc finger FYVE-type containing 28
NC_000004.12,2316197,2316506,RN7SL589P,minus,106479438,"RNA, 7SL, cytoplasmic 589, pseudogene"
NC_000004.12,2324468,2325086,SPICP5,plus,100421664,Spi-C transcription factor pseudogene 5
NC_000004.12,2339768,2343510,LOC124900649,plus,124900649,uncharacterized LOC124900649
NC_000004.12,2342768,2351503,LOC105374352,minus,105374352,uncharacterized LOC105374352
NC_000004.12,2368035,2374444,LOC107986249,minus,107986249,uncharacterized LOC107986249
NC_000004.12,2418955,2463002,CFAP99,plus,402160,cilia and flagella associated protein 99
NC_000004.12,2463004,2465484,LOC105374353,plus,105374353,uncharacterized LOC105374353
