"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000016.10,11555,14090,DDX11L10,plus,100287029,DEAD/H-box helicase 11 like 10 (pseudogene)
NC_000016.10,14081,18091,WASH4P,minus,374677,"WASP family homolog 4, pseudogene"
NC_000016.10,17052,17119,MIR6859-4,minus,103504738,microRNA 6859-4
NC_000016.10,22916,25114,WASIR2,plus,100132169,WASH and IL9R antisense RNA 2
NC_000016.10,28928,36491,IL9RP3,minus,729486,IL9R pseudogene 3
NC_000016.10,46407,53608,POLR3K,minus,51728,RNA polymerase III subunit K
NC_000016.10,53828,57669,SNRNP25,plus,79622,small nuclear ribonucleoprotein U11/U12 subunit 25
NC_000016.10,58059,76360,RHBDF1,minus,64285,rhomboid 5 homolog 1
NC_000016.10,72827,74990,LOC124903617,plus,124903617,uncharacterized LOC124903617
NC_000016.10,77007,85846,MPG,plus,4350,N-methylpurine DNA glycosylase
NC_000016.10,85386,138673,NPRL3,minus,8131,"NPR3 like, GATOR1 complex subunit"
NC_000016.10,152644,154503,HBZ,plus,3050,hemoglobin subunit zeta
NC_000016.10,160947,162921,LOC107983982,plus,107983982,uncharacterized LOC107983982
NC_000016.10,163067,165205,HBZP1,plus,3051,hemoglobin subunit zeta pseudogene 1
NC_000016.10,165978,166764,HBM,plus,3042,hemoglobin subunit mu
NC_000016.10,168641,169452,HBAP1,plus,3041,hemoglobin subunit alpha pseudogene 1
NC_000016.10,172876,173710,HBA2,plus,3040,hemoglobin subunit alpha 2
NC_000016.10,176680,177522,HBA1,plus,3039,hemoglobin subunit alpha 1
NC_000016.10,180459,181179,HBQ1,plus,3049,hemoglobin subunit theta 1
NC_000016.10,188990,229449,LUC7L,minus,55692,LUC7 like
NC_000016.10,231084,232010,C4orf46P1,plus,100129478,C4orf46 pseudogene 1
NC_000016.10,234821,269963,FAM234A,plus,83986,family with sequence similarity 234 member A
NC_000016.10,268307,275944,RGS11,minus,8786,regulator of G protein signaling 11
NC_000016.10,280591,283010,ARHGDIG,plus,398,Rho GDP dissociation inhibitor gamma
NC_000016.10,283164,287215,PDIA2,plus,64714,protein disulfide isomerase family A member 2
NC_000016.10,287440,352723,AXIN1,minus,8312,axin 1
NC_000016.10,366969,370538,MRPL28,minus,10573,mitochondrial ribosomal protein L28
NC_000016.10,370788,386979,PGAP6,minus,58986,post-GPI attachment to proteins 6
NC_000016.10,382241,392960,LOC100134368,plus,100134368,uncharacterized LOC100134368
NC_000016.10,386746,387290,RPL23AP5,plus,729480,ribosomal protein L23a pseudogene 5
NC_000016.10,396729,400754,NME4,plus,4833,NME/NM23 nucleoside diphosphate kinase 4
NC_000016.10,401885,412482,DECR2,plus,26063,"2,4-dienoyl-CoA reductase 2"
NC_000016.10,425649,523011,RAB11FIP3,plus,9727,RAB11 family interacting protein 3
NC_000016.10,491373,493540,LOC107987417,minus,107987417,uncharacterized LOC107987417
NC_000016.10,526847,527407,LINC00235,minus,64493,long intergenic non-protein coding RNA 235
