"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000003.12,11751,24501,LINC01986,plus,102723448,long intergenic non-protein coding RNA 1986
NC_000003.12,54470,67717,LOC105376921,plus,105376921,uncharacterized LOC105376921
NC_000003.12,67885,70120,LOC107986040,plus,107986040,uncharacterized LOC107986040
NC_000003.12,123592,132451,LOC107986057,plus,107986057,uncharacterized LOC107986057
NC_000003.12,146828,147191,LOC124909336,plus,124909336,uncharacterized LOC124909336
NC_000003.12,195758,197341,CHL1-AS2,minus,101927174,CHL1 antisense RNA 2
NC_000003.12,196763,409417,CHL1,plus,10752,cell adhesion molecule L1 like
NC_000003.12,282689,282792,RNU6-1194P,minus,106481557,"RNA, U6 small nuclear 1194, pseudogene"
NC_000003.12,308717,309319,RPS8P6,minus,100270871,ribosomal protein S8 pseudogene 6
NC_000003.12,363373,385795,CHL1-AS1,minus,101927193,CHL1 antisense RNA 1
NC_000003.12,483640,490742,LOC105376922,plus,105376922,uncharacterized LOC105376922
NC_000003.12,491173,493345,LOC124909337,plus,124909337,uncharacterized LOC124909337
NC_000003.12,592105,846015,LINC01266,plus,101927215,long intergenic non-protein coding RNA 1266
NC_000003.12,617789,618389,RPSAP32,minus,402123,ribosomal protein SA pseudogene 32
NC_000003.12,855142,870161,LOC107986058,plus,107986058,uncharacterized LOC107986058
NC_000003.12,878330,1003519,LOC107986059,plus,107986059,uncharacterized LOC107986059
NC_000003.12,1065580,1065875,RN7SL120P,minus,106480953,"RNA, 7SL, cytoplasmic 120, pseudogene"
NC_000003.12,1093024,1404217,CNTN6,plus,27255,contactin 6
NC_000003.12,1163630,1177259,LOC105376924,plus,105376924,uncharacterized LOC105376924
NC_000003.12,1182244,1194389,LOC105376923,minus,105376923,uncharacterized LOC105376923
NC_000003.12,1394173,1394448,CRB3P1,minus,106480279,crumbs cell polarity complex component 3 pseudogene 1
NC_000003.12,1595537,1596257,RPL23AP38,minus,391504,ribosomal protein L23a pseudogene 38
NC_000003.12,1730054,1730474,RPL23AP39,plus,100271461,ribosomal protein L23a pseudogene 39
NC_000003.12,1905648,1906169,RPL21P17,plus,727810,ribosomal protein L21 pseudogene 17
NC_000003.12,2088977,2089211,RN7SKP144,minus,106479159,RN7SK pseudogene 144
NC_000003.12,2097581,2098255,LOC124909338,minus,124909338,uncharacterized LOC124909338
NC_000003.12,2098866,3057959,CNTN4,plus,152330,contactin 4
NC_000003.12,2110409,2144241,CNTN4-AS2,minus,100873976,CNTN4 antisense RNA 2
NC_000003.12,2360836,2366476,HINT2P1,plus,101929471,histidine triad nucleotide binding protein 2 pseudogene 1
NC_000003.12,2812934,2851833,LOC105376926,minus,105376926,uncharacterized LOC105376926
NC_000003.12,2985231,2985575,DNAJC19P4,minus,106480691,DnaJ heat shock protein family (Hsp40) member C19 pseudogene 4
NC_000003.12,3039661,3061145,CNTN4-AS1,minus,100873975,CNTN4 antisense RNA 1
NC_000003.12,3066324,3110374,IL5RA,minus,3568,interleukin 5 receptor subunit alpha
NC_000003.12,3121997,3126831,LOC124909339,minus,124909339,uncharacterized LOC124909339
NC_000003.12,3126940,3153435,TRNT1,plus,51095,tRNA nucleotidyl transferase 1
NC_000003.12,3149633,3179717,CRBN,minus,51185,cereblon
NC_000003.12,3700814,3800875,LOC100130207,minus,100130207,uncharacterized LOC100130207
NC_000003.12,3799431,3849834,LRRN1,plus,57633,leucine rich repeat neuronal 1
