"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000022.11,10685647,10688027,LOC124905154,minus,124905154,immunoglobulin kappa variable 1-39-like
NC_000022.11,10736170,10736283,LOC124905166,minus,124905166,uncharacterized LOC124905166
NC_000022.11,10742092,10753062,LOC105379418,plus,105379418,uncharacterized LOC105379418
NC_000022.11,10858995,10864475,LOC100289194,plus,100289194,fibrous sheath CABYR-binding protein-like
NC_000022.11,10940597,10961529,FRG1FP,minus,102723780,"FSHD region gene 1 family member F, pseudogene"
NC_000022.11,11124510,11126153,ACTR3BP7,plus,100289004,ACTR3B pseudogene 7
NC_000022.11,11249809,11249959,LOC110467520,minus,110467520,"RNA, 5.8S ribosomal pseudogene"
NC_000022.11,11250652,11256506,LOC102723688,plus,102723688,serine/arginine repetitive matrix protein 1-like
NC_000022.11,11251000,11252848,LOC110467534,minus,110467534,"RNA, 18S ribosomal pseudogene"
NC_000022.11,11257793,11259748,CDC27P7,plus,102723711,cell division cycle 27 pseudogene 7
NC_000022.11,11276660,11277602,DUX4L40,plus,107080649,double homeobox 4 like 40 (pseudogene)
NC_000022.11,11278931,11279486,PCMTD1P4,plus,107105258,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 4
NC_000022.11,11281908,11282891,DUX4L41,plus,107080650,double homeobox 4 like 41 (pseudogene)
NC_000022.11,11474777,11479843,ZNF73P,plus,105379427,"zinc finger protein 73, pseudogene"
NC_000022.11,11600644,11601609,DUX4L42,plus,106660607,double homeobox 4 like 42 (pseudogene)
NC_000022.11,11604019,11604680,PCMTD1P5,plus,107105260,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 5
NC_000022.11,11605896,11606835,DUX4L43,plus,106660617,double homeobox 4 like 43 (pseudogene)
NC_000022.11,11623820,11625744,CDC27P8,minus,100288806,cell division cycle 27 pseudogene 8
NC_000022.11,11625854,11629489,LOC100996699,minus,100996699,proline-rich protein 2-like
NC_000022.11,11629549,11630707,RNA18SP,plus,110467532,"RNA, 18S ribosomal pseudogene"
